op_name,shape,count
aten::add_,"[[1, 256, 25, 25], [1, 256, 1, 1], []]",300
aten::add_,"[[1, 256, 50, 50], [1, 256, 1, 1], []]",300
aten::add_,"[[0, 256, 14, 14], [], []]",250
aten::add_,"[[1, 12, 100, 100], [1, 12, 1, 1], []]",100
aten::add_,"[[1, 12, 13, 13], [1, 12, 1, 1], []]",100
aten::add_,"[[1, 12, 200, 200], [1, 12, 1, 1], []]",100
aten::add_,"[[1, 12, 25, 25], [1, 12, 1, 1], []]",100
aten::add_,"[[1, 12, 50, 50], [1, 12, 1, 1], []]",100
aten::add_,"[[1, 256, 13, 13], [1, 256, 1, 1], []]",100
aten::add_,"[[1, 3, 100, 100], [1, 3, 1, 1], []]",100
aten::add_,"[[1, 3, 13, 13], [1, 3, 1, 1], []]",100
aten::add_,"[[1, 3, 200, 200], [1, 3, 1, 1], []]",100
aten::add_,"[[1, 3, 25, 25], [1, 3, 1, 1], []]",100
aten::add_,"[[1, 3, 50, 50], [1, 3, 1, 1], []]",100
aten::add_,"[[0, 256, 28, 28], [], []]",50
aten::add_,"[[1, 850, 256], [256], []]",30
aten::add_,"[[1, 1024, 50, 68], [1, 1024, 50, 68], []]",12
aten::add_,"[[1, 129, 768], [1, 129, 768], []]",8
aten::add_,"[[1, 256, 200, 272], [1, 256, 200, 272], []]",8
aten::add_,"[[1, 512, 100, 136], [1, 512, 100, 136], []]",8
aten::add_,"[[1, 2048, 25, 34], [1, 2048, 25, 34], []]",6
aten::add_,"[[1, 256, 25, 34], [1, 256, 1, 1], []]",4
aten::add_,"[[1, 128, 200, 272], [1, 128, 1, 1], []]",2
aten::add_,"[[1, 256, 100, 136], [1, 256, 100, 136], []]",2
aten::add_,"[[1, 256, 200, 272], [1, 256, 1, 1], []]",2
aten::add_,"[[1, 256, 50, 68], [1, 256, 50, 68], []]",2
aten::all,"[[1, 256]]",16
aten::all,"[[1, 129]]",8
aten::all,"[[1, 2049]]",8
aten::all,"[[1, 512]]",8
aten::arange,"[[], [], [], [0]]",1292
aten::arange,"[[], [], [], [], [], []]",1032
aten::arange,"[[], [], [], [], []]",260
aten::batch_norm,"[[1, 256, 128, 128], [256], [256], [256], [256], [], [], [], []]",2
aten::bitwise_not,"[[1, 25, 34]]",2
aten::cat,"[[], []]",5308
aten::clamp,"[[0, 182], [], []]",200
aten::clamp,"[[0, 91], [], []]",200
aten::clamp,"[[159882, 1], [], []]",200
aten::clamp,"[[4507, 2], [], []]",200
aten::clamp,"[[0], [], []]",150
aten::contiguous,"[[12, 49, 49], []]",4800
aten::contiguous,"[[16, 49, 49], []]",3600
aten::contiguous,"[[2, 257, 1280], []]",3200
aten::contiguous,"[[4, 257, 1280], []]",3200
aten::contiguous,"[[8, 257, 1280], []]",3200
aten::contiguous,"[[2, 197, 1024], []]",2400
aten::contiguous,"[[4, 197, 1024], []]",2400
aten::contiguous,"[[8, 197, 1024], []]",2400
aten::contiguous,"[[257, 2, 16, 80], []]",1600
aten::contiguous,"[[257, 4, 16, 80], []]",1600
aten::contiguous,"[[257, 8, 16, 80], []]",1600
aten::contiguous,"[[3, 257, 1, 1280], []]",1600
aten::contiguous,"[[3, 257, 2, 1280], []]",1600
aten::contiguous,"[[3, 257, 4, 1280], []]",1600
aten::contiguous,"[[3, 257, 8, 1280], []]",1600
aten::contiguous,"[[197, 2, 16, 64], []]",1200
aten::contiguous,"[[197, 4, 16, 64], []]",1200
aten::contiguous,"[[197, 8, 16, 64], []]",1200
aten::contiguous,"[[2, 197, 768], []]",1200
aten::contiguous,"[[3, 197, 1, 1024], []]",1200
aten::contiguous,"[[3, 197, 2, 1024], []]",1200
aten::contiguous,"[[3, 197, 4, 1024], []]",1200
aten::contiguous,"[[3, 197, 8, 1024], []]",1200
aten::contiguous,"[[4, 197, 768], []]",1200
aten::contiguous,"[[8, 197, 768], []]",1200
aten::contiguous,"[[24, 49, 49], []]",800
aten::contiguous,"[[3, 49, 49], []]",800
aten::contiguous,"[[6, 49, 49], []]",800
aten::contiguous,"[[197, 2, 12, 64], []]",600
aten::contiguous,"[[197, 4, 12, 64], []]",600
aten::contiguous,"[[197, 8, 12, 64], []]",600
aten::contiguous,"[[3, 197, 1, 768], []]",600
aten::contiguous,"[[3, 197, 2, 768], []]",600
aten::contiguous,"[[3, 197, 4, 768], []]",600
aten::contiguous,"[[3, 197, 8, 768], []]",600
aten::contiguous,"[[32, 49, 49], []]",400
aten::contiguous,"[[4, 49, 49], []]",400
aten::contiguous,"[[8, 49, 49], []]",400
aten::contiguous,"[[1, 56, 56, 96], []]",100
aten::contiguous,"[[2, 56, 56, 96], []]",100
aten::contiguous,"[[4, 56, 56, 96], []]",100
aten::contiguous,"[[8, 56, 56, 96], []]",100
aten::contiguous,"[[1, 8, 100, 32], []]",96
aten::contiguous,"[[1, 8, 850, 32], []]",84
aten::contiguous,"[[1, 56, 56, 128], []]",50
aten::contiguous,"[[2, 56, 56, 128], []]",50
aten::contiguous,"[[4, 56, 56, 128], []]",50
aten::contiguous,"[[8, 56, 56, 128], []]",50
aten::contiguous,"[[1, 5, 12, 6, 12, 512], []]",36
aten::contiguous,"[[1, 5, 6, 12, 12, 512], []]",36
aten::contiguous,"[[1, 50, 68, 512], []]",36
aten::contiguous,"[[16, 144, 144], []]",36
aten::contiguous,"[[30, 144, 16, 32], []]",36
aten::contiguous,"[[1, 5, 6, 12, 12, 1], []]",18
aten::contiguous,"[[1, 9, 12, 12, 12, 256], []]",8
aten::contiguous,"[[1, 160, 32, 32], []]",6
aten::contiguous,"[[1, 32, 128, 128], []]",6
aten::contiguous,"[[1, 64, 64, 64], []]",6
aten::contiguous,"[[1, 100, 136, 256], []]",4
aten::contiguous,"[[1, 1024, 16, 16], []]",4
aten::contiguous,"[[1, 1024, 5, 32], []]",4
aten::contiguous,"[[1, 128, 128, 128], []]",4
aten::contiguous,"[[1, 17, 12, 23, 12, 128], []]",4
aten::contiguous,"[[1, 17, 23, 12, 12, 128], []]",4
aten::contiguous,"[[1, 200, 272, 128], []]",4
aten::contiguous,"[[1, 25, 34, 1024], []]",4
aten::contiguous,"[[1, 256, 160], []]",4
aten::contiguous,"[[1, 256, 32], []]",4
aten::contiguous,"[[1, 256, 64, 64], []]",4
aten::contiguous,"[[1, 256, 64], []]",4
aten::contiguous,"[[1, 256, 8, 32], []]",4
aten::contiguous,"[[1, 3, 12, 3, 12, 1024], []]",4
aten::contiguous,"[[1, 3, 3, 12, 12, 1024], []]",4
aten::contiguous,"[[1, 4096, 2, 32], []]",4
aten::contiguous,"[[1, 640, 32, 32], []]",4
aten::contiguous,"[[108, 144, 8, 32], []]",4
