model,batch_size,seq_len,op_name,shape,count
detr,1,,aten::mul,"[[1, 256, 200, 272], [1, 256, 1, 1]]",8
detr,1,,aten::mul,"[[1, 256, 50, 68], [1, 256, 1, 1]]",22
detr,1,,aten::mul,"[[1, 50, 68], []]",4
detr,1,,aten::mul,"[[1, 512, 1, 1], [1, 512, 1, 1]]",44
detr,1,,aten::mul,"[[1, 512, 100, 136], [1, 512, 1, 1]]",10
detr,1,,aten::mul,"[[1, 512, 25, 34], [1, 512, 1, 1]]",10
detr,1,,aten::mul,"[[1, 512, 50, 68], [1, 512, 1, 1]]",2
detr,1,,aten::mul,"[[1, 64, 1, 1], [1, 64, 1, 1]]",28
detr,1,,aten::mul,"[[1, 64, 200, 272], [1, 64, 1, 1]]",12
detr,1,,aten::mul,"[[1, 64, 400, 544], [1, 64, 1, 1]]",2
detr,1,,aten::mul,"[[1, 850, 256], []]",12
detr,1,,aten::mul,"[[128], []]",8
detr,1,,aten::permute,"[[1, 100, 136, 256], []]",2
detr,1,,aten::permute,"[[1, 200, 272, 256], []]",2
detr,1,,aten::permute,"[[1, 25, 34, 256], []]",2
detr,1,,aten::permute,"[[1, 256, 850], []]",4
detr,1,,aten::permute,"[[1, 50, 68, 256], []]",2
detr,1,,aten::pow,"[[], [128], [128]]",8
detr,1,,aten::pow,"[[], [128]]",8
detr,1,,aten::relu,"[[1, 100, 2048]]",12
detr,1,,aten::relu,"[[1, 100, 256]]",4
detr,1,,aten::relu,"[[1, 850, 2048]]",12
detr,1,,aten::relu_,"[[1, 1024, 50, 68]]",12
detr,1,,aten::relu_,"[[1, 128, 100, 136]]",14
detr,1,,aten::relu_,"[[1, 128, 200, 272]]",2
detr,1,,aten::relu_,"[[1, 2048, 25, 34]]",6
detr,1,,aten::relu_,"[[1, 256, 100, 136]]",2
detr,1,,aten::relu_,"[[1, 256, 200, 272]]",6
detr,1,,aten::relu_,"[[1, 256, 50, 68]]",22
detr,1,,aten::relu_,"[[1, 512, 100, 136]]",8
detr,1,,aten::relu_,"[[1, 512, 25, 34]]",10
detr,1,,aten::relu_,"[[1, 512, 50, 68]]",2
detr,1,,aten::relu_,"[[1, 64, 200, 272]]",12
detr,1,,aten::relu_,"[[1, 64, 400, 544]]",2
detr,1,,aten::repeat,"[[1, 100, 256], []]",2
detr,1,,aten::reshape,"[[1, 100, 2048], []]",12
detr,1,,aten::reshape,"[[1, 100, 256], []]",92
detr,1,,aten::reshape,"[[1, 100, 8, 32], []]",24
detr,1,,aten::reshape,"[[1, 850, 2048], []]",12
detr,1,,aten::reshape,"[[1, 850, 256], []]",84
detr,1,,aten::reshape,"[[1, 850, 8, 32], []]",12
detr,1,,aten::reshape,"[[1024], []]",56
detr,1,,aten::reshape,"[[128], []]",64
detr,1,,aten::reshape,"[[2048], []]",32
detr,1,,aten::reshape,"[[256], []]",130
detr,1,,aten::reshape,"[[512], []]",88
detr,1,,aten::reshape,"[[64], []]",56
detr,1,,aten::rsub,"[[1, 1, 100, 850], [], []]",2
detr,1,,aten::rsub,"[[1, 1, 850, 850], [], []]",2
detr,1,,aten::select,"[[1, 1, 100, 136], [], []]",2
detr,1,,aten::select,"[[1, 1, 200, 272], [], []]",2
detr,1,,aten::select,"[[1, 1, 25, 34], [], []]",2
detr,1,,aten::select,"[[1, 1, 50, 68], [], []]",2
detr,1,,aten::sigmoid,"[[1, 100, 4]]",2
detr,1,,aten::sin,"[[1, 100, 136, 64]]",4
detr,1,,aten::sin,"[[1, 200, 272, 64]]",4
detr,1,,aten::sin,"[[1, 25, 34, 64]]",4
detr,1,,aten::sin,"[[1, 50, 68, 64]]",4
detr,1,,aten::slice,"[[1, 1, 1, 850], [], [], [], []]",4
detr,1,,aten::slice,"[[1, 1, 136], [], [], [], []]",2
detr,1,,aten::slice,"[[1, 1, 272], [], [], [], []]",2
detr,1,,aten::slice,"[[1, 1, 34], [], [], [], []]",2
detr,1,,aten::slice,"[[1, 1, 68], [], [], [], []]",2
detr,1,,aten::slice,"[[1, 100, 136, 128], [], [], [], []]",32
detr,1,,aten::slice,"[[1, 100, 136, 64, 2], [], [], [], []]",8
detr,1,,aten::slice,"[[1, 100, 136], [], [], [], []]",22
detr,1,,aten::slice,"[[1, 200, 272, 128], [], [], [], []]",32
detr,1,,aten::slice,"[[1, 200, 272, 64, 2], [], [], [], []]",8
detr,1,,aten::slice,"[[1, 200, 272], [], [], [], []]",22
detr,1,,aten::slice,"[[1, 25, 34, 128], [], [], [], []]",32
detr,1,,aten::slice,"[[1, 25, 34, 64, 2], [], [], [], []]",8
detr,1,,aten::slice,"[[1, 25, 34], [], [], [], []]",22
detr,1,,aten::slice,"[[1, 50, 68, 128], [], [], [], []]",32
detr,1,,aten::slice,"[[1, 50, 68, 64, 2], [], [], [], []]",8
detr,1,,aten::slice,"[[1, 50, 68], [], [], [], []]",22
detr,1,,aten::slice,"[[1, 850], [], [], [], []]",4
detr,1,,aten::softmax,"[[8, 100, 100], [], []]",12
detr,1,,aten::softmax,"[[8, 100, 850], [], []]",12
detr,1,,aten::softmax,"[[8, 850, 850], [], []]",12
detr,1,,aten::stack,"[[], []]",16
detr,1,,aten::to,"[[1, 1, 100, 136], [], [], [], []]",2
detr,1,,aten::to,"[[1, 1, 100, 850], [], [], [], []]",4
detr,1,,aten::to,"[[1, 1, 200, 272], [], [], [], []]",2
detr,1,,aten::to,"[[1, 1, 25, 34], [], [], [], []]",2
detr,1,,aten::to,"[[1, 1, 50, 68], [], [], [], []]",2
detr,1,,aten::to,"[[1, 1, 800, 1088], [], [], [], []]",8
detr,1,,aten::to,"[[1, 1, 850, 850], [], [], [], []]",4
detr,1,,aten::to,"[[1, 100, 136], [], [], [], []]",4
detr,1,,aten::to,"[[1, 200, 272], [], [], [], []]",4
detr,1,,aten::to,"[[1, 25, 34], [], [], [], []]",4
detr,1,,aten::to,"[[1, 256, 100, 136], [], [], [], []]",2
detr,1,,aten::to,"[[1, 256, 200, 272], [], [], [], []]",2
detr,1,,aten::to,"[[1, 256, 25, 34], [], [], [], []]",2
detr,1,,aten::to,"[[1, 256, 50, 68], [], [], [], []]",2
detr,1,,aten::to,"[[1, 50, 68], [], [], [], []]",4
detr,1,,aten::to,"[[128], [], [], [], []]",8
